abaĵuro 	Noun 	(archaic) lampshade 	From French abat-jour. 	 
abelo 	Noun 	bee 	From French abeille. 	 
abelejo 	Noun 	apiary 	From abelo +‎ ejo. 	 
abelisto 	Noun 	beekeeper 	From abelo +‎ -isto. 	 
abelmanĝulo 	Noun 	bee-eater (species of bird) 	abelo +‎ manĝi +‎ ulo 	 
abelreĝino 	Noun 	queen bee 	From abelo (“bee”) +‎ reĝino (“queen”). 	 
abelsvarmo 	Noun 	swarm of bees 	abelo +‎ svarmo. 	 
abelujo 	Noun 	hive; beehive 	From abelo (“bee”) +‎ -ujo (“container for”). 	 
abelvakso 	Noun 	beeswax 	abelo +‎ vakso. 	 
ĉefabelino 	Noun 	queen bee 	From ĉef- +‎ abelo (“bee”) +‎ -ino (feminine suffix). 	 
laborabelo 	Noun 	worker bee 	From labori +‎ abelo. 	 
virabelo 	Noun 	drone (male bee) 	From vir- (“male”) +‎ abelo (“bee”). 	 
ablativa 	Adjective 	ablative 	From English ablative; French ablatif. 	 
ablativo 	Noun 	(grammar) ablative 	From English ablative; French ablatif; German Ablativ. 	 
ablativa 	Adjective 	ablative 	From English ablative; French ablatif. 	 
abomeni 	Verb 	to abhor, loathe, abominate 	From Italian abominare, French abominer, Latin abōminor.[1] 	 
abomeno 	Noun 	abomination, disgust, loathing 	From French abomination; English abomination 	 
aboni 	Verb 	to subscribe 	From French abonner; from German abonnieren 	 
abrikoto 	Noun 	apricot 	Borrowed from French abricot. Compare English apricot, German Aprikose. 	 
abrikotujo 	Noun 	apricot tree 	From abrikoto +‎ -ujo. 	 
absceso 	Noun 	(pathology) abscess 	From French abcès; English abscess. 	 
acetileno 	Noun 	(organic chemistry) acetylene 	From French acétylène. 	 
aĉeti 	Verb 	(transitive) to buy; to purchase 	From French acheter. 	 
aĉetaĵo 	Noun 	a purchase 	From aĉeti (“to buy”) +‎ -aĵo. 	 
aĉetanto 	Noun 	singular present nominal active participle of aĉeti 	From aĉeti (“to buy”) +‎ -ant- +‎ -o. 	 
aĉetebla 	Adjective 	for sale 	From aĉeti +‎ -ebla. 	 
aĉetisto 	Noun 	(professional) buyer, purchasing agent 	aĉeti +‎ -isto. 	 
aĉeto 	Noun 	a purchase or item available for purchase 	From aĉeti (“to buy, purchase”) +‎ -o (noun ending). 	 
elaĉeti 	Verb 	to ransom; to redeem 	From el- +‎ aĉeti. 	 
foraĉeti 	Verb 	to buy up (all of a product), corner the market 	From for- +‎ aĉeti. 	 
subaĉeti 	Verb 	to bribe 	From sub- +‎ aĉeti. 	 
subaĉetado 	Noun 	bribery 	subaĉeti +‎ -ado 	 
adiaŭ 	Interjection 	goodbye, farewell 	Borrowed from French adieu. 	 
adjektivo 	Noun 	adjective 	From English adjective, French adjectif, German Adjektiv, etc., all ultimately from Latin adiectīvum. 	 
adreso 	Noun 	(mail, residence, computing) address 	From French adresse, English address, Russian а́дрес (ádres), German Adresse. 	 
afabla 	Adjective 	affable, good-natured 	From French affable. 	 
afekcii 	Verb 	to affect (the health) 	From French affecter, Italian affettare. 	 
afero 	Noun 	thing 	From French affaire / English affair, from Proto-Indo-European *ád (“near, at”) + *dʰeh₁- (“to put, place, set”). 	 
aferŝarĝito 	Noun 	chargé d'affaires 	Calque of  French chargé d'affaires, afero (“business”) +‎ ŝarĝito (“charged”). 	 
afiŝo 	Noun 	placard, poster, notice, sign 	Borrowed from French affiche. 	 
agaci 	Verb 	aggravate, annoy, irritate 	From French agacer 	 
agi 	Verb 	(usually intransitive) to act, do something 	Probably from French agir (“to act”), Italian agire (“to act”) 	 
agado 	Noun 	action, activity, practice 	agi +‎ -ado 	 
senagado 	Noun 	inaction 	From sen- +‎ agado. 	 
agema 	Adjective 	active (inclined to act) 	agi (“to act”) +‎ -ema 	 
agmaniero 	Noun 	behaviour, conduct, deportment, demeanour 	From agi +‎ maniero. 	 
agmetodo 	Noun 	approach, modus operandi 	agi (“act”) +‎ metodo (“method”). 	 
interagi 	Verb 	(intransitive) to interact 	From inter- +‎ agi (“to act”). 	 
interagado 	Noun 	interaction 	From interagi +‎ -ado. 	 
kontraŭagi 	Verb 	(intransitive) to act in opposition, counteract (with kontraŭ or al) 	From kontraŭ- +‎ agi (“to act”). 	 
kunagi 	Verb 	to cooperate, collaborate 	From kun- +‎ agi (“to act”). 	 
reagi 	Verb 	to react 	From re- +‎ agi (“to act”). 	 
aglo 	Noun 	eagle 	Borrowed from French aigle. 	 
agleca 	Adjective 	aquiline, eagle-like 	aglo +‎ -eca. 	 
fiŝaglo 	Noun 	osprey 	fiŝo (“fish”) +‎ aglo (“eagle”). 	 
agrabla 	Adjective 	agreeable, pleasant, congenial 	From French agréable 	 
agrablaĵo 	Noun 	something pleasant; pleasure, delight 	agrabla +‎ -aĵo. 	 
agrable 	Adverb 	agreeably, pleasantly 	  	 
agrableco 	Noun 	agreeableness, pleasantness (the quality of being pleasant) 	From agrabla (“agreeable”) +‎ -eco. 	 
malagrabla 	Adjective 	unpleasant, disagreeable, distasteful, displeasing 	From mal- +‎ agrabla 	 
malagrablaĵo 	Noun 	unpleasantness, nuisance, annoyance, irritant (something unpleasant) 	From malagrabla +‎ -aĵo. 	 
malagrableco 	Noun 	the quality of being unpleasant, unpleasantness, disagreeableness 	From malagrabla +‎ -eco. 	 
agrafo 	Noun 	fastener: 	Borrowed from English agraffe, French agrafe, German Agraffe. 	 
aĝioti 	Verb 	(intransitive) to speculate in stocks, engage in stockjobbing 	From French agioter from agio (“agio, spread, exchange premium”) 	 
aĝo 	Noun 	age (number of years since origin or birth) 	From French âge. 	 
aĝa 	Adjective 	of (such) an age, (so many years, etc.) old, aged (so many years, etc.) 	From aĝo +‎ -a. 	 
aĝi 	Verb 	to have a certain age 	From Esperanto aĝo ("age") + verb suffix -i 	 
grandaĝa 	Adjective 	(of people) aged, elderly 	From granda (“big”) +‎ aĝo (“age”) +‎ -a (“adjectival suffix”). 	 
infanaĝo 	Noun 	childhood, infancy 	infano (“child”) +‎ aĝo (“age”). 	 
jaraĝa 	Adjective 	years old 	From jaro +‎ aĝa. 	 
junaĝo 	Noun 	early period of life, youth 	From juna (“young”) +‎ aĝo (“age”). 	 
