bela 	Adjective 	beautiful, pretty 	Common Romance, from Latin bellus. 	 
belega 	Adjective 	gorgeous 	From bela +‎ -eg-. 	 
dekstra 	Adjective 	right (opposite of left). 	From Italian destro, Latin dexter. 	 
dekstre 	Adverb 	on the right 	From Latin dexter. 	 
dekstren 	Adverb 	to the right 	dekstre (“on the right”) +‎ -n (“lative”) 	 
dekstrulo 	Noun 	a right-handed person; right-hander 	dekstra (“right”) +‎ -ulo (“person”) 	 
dekstruma 	Adjective 	clockwise 	dekstra (“right”) +‎ -um- 	 
dekstrume 	Adverb 	clockwise 	dekstruma + -e 	 
maldekstrulo 	Noun 	a left-handed person, left-hander 	mal- (“opposite of”) +‎ dekstrulo (“right-hander”) [from dekstra (“right”) +‎ -ulo (“person”)] 	 
maldekstruma 	Adjective 	anticlockwise, counterclockwise 	maldekstra (“left”) [from mal- (“opposite of”) +‎ dekstra (“right”)] +‎ -um- 	 
vera 	Adjective 	true 	  	 
abstrakta 	Adjective 	abstract 	Borrowed from German abstrakt, English abstract, Spanish abstracto, from Latin abstractus. 	 
abstraktaĵo 	Noun 	abstract idea, abstraction 	From abstrakta +‎ -aĵo. 	 
abstrakte 	Adverb 	abstractly 	abstrakta (“abstract”) +‎ -e 	 
abstrakteco 	Noun 	abstractness 	From abstrakta +‎ -eco. 	 
abstraktismo 	Noun 	abstract art 	abstrakta +‎ ismo. 	 
abunda 	Adjective 	abundant, plentiful 	Compare French abondant, Italian abbondante, English abundant, and Spanish abundante, all ultimately from Latin abundō (“abound”). 	 
aerostato 	Noun 	aerostat 	From Italian aerostato, Spanish aerostato, English aerostat, French aérostat, Russian аэроста́т (aerostát). 	 
aerostata 	Adjective 	aerostatic 	  	 
agvarao 	Noun 	maned wolf 	From Spanish aguará. 	 
akademio 	Noun 	academy 	From English academy, French académie, German Akademie, Italian accademia, Spanish academia, Russian академия (akademija), from Latin acadēmīa, from Ancient Greek Ἀκαδημία (Akadēmía). 	 
akademia 	Adjective 	academic 	From akademio (“academy”) +‎ -a (adjectival ending). 	 
